No,Project Name,Municipality,Sector,Currency,Amount,YearStart,YearEnd_original,Funding/Donor,Implementing Partner,Status_original,SDGs_Alignment,NSDP_Alignment,YearEnd,Donor,Implementing Agency,Status,Budget,level_areas,Category,budget_clean
127,Asia Pacific Forum of National Human Rights Institutions 2022-2027,Timor-Leste,Human Rights - Protection,USD,"1,271,000",2023,2026,MFAT,Governments and CSOs,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2026.0,MFAT,Governments and CSOs,Ongoing - Active,1271000.0,National,Bilateral (Foreign Govs),1271000.0
128,Climate Finance for Community Resilience,Timor-Leste,Water and Sanitation,USD,"691,000",2023,2026,MFAT,Governments and CSOs,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2026.0,MFAT,Governments and CSOs,Ongoing - Active,691000.0,National,Bilateral (Foreign Govs),691000.0
138,IFC Timor-Leste Private Sector Partnership Activity (TL-PSP),Timor-Leste,Business Development,USD,"2,118,000",2024,2028,MFAT,IFC,Ongoing - Active,4. Transforming Education,1. Social Capital,2028.0,MFAT,IFC,Ongoing - Active,2118000.0,National,Bilateral (Foreign Govs),2118000.0
250,Agroforestry Skills for Employment and Resilience project in Timor-Leste,Timor-Leste,Economic development,USD,"6,492,600",2023,2027,EU,ILO,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,2027.0,EU,ILO,Ongoing - Active,6492600.0,National,Multilateral/Banks,6492600.0
25,Asian Development Bank Outlook and Asian Development Policy Report,Timor-Leste,Multi sector,USD,"1,500,000.00",2025,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,1500000.0,National,Multilateral/Banks,1500000.0
26,Enabling Participation in International Carbon Markets,Timor-Leste,Public Sector Management,USD,"1,050,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,,ADB,Information Not Available,Ongoing - Active,1050000.0,National,Multilateral/Banks,1050000.0
27,Rural Resilience and Livelihood Improvement Sector Project,Manatuto,Agriculture,USD,"8,500,000.00",2025,Not identified,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,8500000.0,Municipality,Multilateral/Banks,8500000.0
28,Southeast Asia and Water Secure Cities Facility,Timor-Leste,Water and Sanitations,USD,"8,300,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,2. Energy Access & Affordability,1. Social Capital,,ADB,Information Not Available,Ongoing - Active,8300000.0,National,Multilateral/Banks,8300000.0
29,Integrated Nutrition and Adaptive Social Protection for Increased Resilience (INSPIRE),Timor-Leste,Public Sector Management,USD,"2,500,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,ADB,Information Not Available,Ongoing - Active,2500000.0,National,Multilateral/Banks,2500000.0
30,Supporting Financial Sustainability and Energy Transition,Timor-Leste,Energy,USD,"3,800,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,ADB,Information Not Available,Ongoing - Active,3800000.0,National,Multilateral/Banks,3800000.0
31,Enhancing Asia and the Pacific's Readiness for Resilient Disaster Recovery,Timor-Leste,Public Sector Management,USD,"2,000,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",1. Social Capital,,ADB,Information Not Available,Ongoing - Active,2000000.0,National,Multilateral/Banks,2000000.0
32,"Accelerating Climate Action, Innovation, and Private Sector Development Through Sector Operations",Timor-Leste,Multi sector,USD,"14,800,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,14800000.0,National,Multilateral/Banks,14800000.0
33,Macroeconomic Policy for Debt Sustainability and Climate Resilience,Timor-Leste,Public Sector Management,USD,"7,500,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,7500000.0,National,Multilateral/Banks,7500000.0
34,Strengthening Sustainability of Social Sector Infrastructure,Timor-Leste,Education,USD,"1,600,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,ADB,Information Not Available,Ongoing - Active,1600000.0,National,Multilateral/Banks,1600000.0
35,Operationalizing Trade Reforms and Strengthening Trade Climate Linkages in ADB Operations,Timor-Leste,Industry and Trade,USD,"1,900,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,1900000.0,National,Multilateral/Banks,1900000.0
36,Toward Sustainable and Conversion-Free Aquaculture in Southeast Asia,Timor-Leste,Agriculture,USD,"4,450,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,4450000.0,National,Multilateral/Banks,4450000.0
37,Strengthening Accountability Capacities to Address Environmental and Social Safeguards Complaints in ADB-Assisted Projects,Timor-Leste,Multi sector,USD,"1,000,000.00",2024,Not identified,ADB,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,ADB,Information Not Available,Ongoing - Active,1000000.0,National,Multilateral/Banks,1000000.0
38,Accelerating Private Sector Development for Green and Inclusive Growth in Southeast Asia,Timor-Leste,Energy,USD,"3,800,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,2. Energy Access & Affordability,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,3800000.0,National,Multilateral/Banks,3800000.0
39,Promoting Climate-Resilient Rural Development and Food Security in Southeast Asia,Timor-Leste,Agriculture,USD,"4,800,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,4800000.0,National,Multilateral/Banks,4800000.0
40,Project Preparation I - Workforce and Skills Development Project,Timor-Leste,Education,USD,"400,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,,ADB,Information Not Available,Ongoing - Active,400000.0,National,Multilateral/Banks,400000.0
41,Enhancing Effectiveness of Subregional Programs to Advance Regional Cooperation and Integration in Southeast Asia (Phase 2),Timor-Leste,Public Sector Management,USD,"2,000,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,ADB,Information Not Available,Ongoing - Active,2000000.0,National,Multilateral/Banks,2000000.0
42,Supporting Timor-Leste Government Capacity for Planning and Participation in Regional Mechanism and Integration,Timor-Leste,Public Sector Management,USD,"225,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,ADB,Information Not Available,Ongoing - Active,225000.0,National,Multilateral/Banks,225000.0
43,Operationalizing the Community Resilience Partnership Program,Timor-Leste,Public Sector Management,USD,"4,708,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,ADB,Information Not Available,Ongoing - Active,4708000.0,National,Multilateral/Banks,4708000.0
44,Developing Inclusive and Resilient Social Protection Systems in Asia and the Pacific,Timor-Leste,Public Sector Management,USD,"1,100,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,ADB,Information Not Available,Ongoing - Active,1100000.0,National,Multilateral/Banks,1100000.0
45,Supporting Innovative and Sustainable Financing,Timor-Leste,Finance,USD,"1,020,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,ADB,Information Not Available,Ongoing - Active,1020000.0,National,Multilateral/Banks,1020000.0
46,Bridging the Gap Between Climate Adaptation Planning and Financing,Timor-Leste,Public Sector Management,USD,"4,708,000.00",2023,Not identified,ADB,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,ADB,Information Not Available,Ongoing - Active,4708000.0,National,Multilateral/Banks,4708000.0
47,Timor-Leste Covid-19 Response and Health System Preparedness Project,Timor-Leste,Health,USD,"5,000,000.00",2023,2025,WB,Not identified,Ongoing - Active,2. Energy Access & Affordability,4. Institutional Framework,2025.0,WB,Information Not Available,Ongoing - Active,5000000.0,National,Multilateral/Banks,5000000.0
48,Unknown,Covalima,Health,USD,"2,750,000.00",2023,2025,WB,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2025.0,WB,Information Not Available,Ongoing - Active,2750000.0,Municipality,Multilateral/Banks,2750000.0
49,Basic Education Strengthening and Transformation Project,Timor-Leste,Education,USD,"23,550,000.00",2023,2025,WB,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,WB,Information Not Available,Ongoing - Active,23550000.0,National,Multilateral/Banks,23550000.0
50,Timor-Leste Branch Roads Project,Ermera,Infrastructure,USD,"70,810,000.00",2023,2027,WB,Not identified,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,2027.0,WB,Information Not Available,Ongoing - Active,70810000.0,Municipality,Multilateral/Banks,70810000.0
51,Sustainable Agriculture Productivity Improvement Project,Timor-Leste,Agriculture,USD,"21,000,000.00",2023,2025,WB,Not identified,Ongoing - Active,3. Digital Connectivity,2. Infrastructure Development,2025.0,WB,Information Not Available,Ongoing - Active,21000000.0,National,Multilateral/Banks,21000000.0
107,TOMAK (Toos ba Moris Diak) Farming for Prosperity,Timor-Leste,Agriculture,USD,"13,894,000.00",2023,2026,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2026.0,DFAT,Information Not Available,Ongoing - Active,13894000.0,National,Bilateral (Foreign Govs),13894000.0
108,Timor-Leste Police Development Program,Timor-Leste,Human Rights - Protection,USD,"23,093,000",2024,2028,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2028.0,DFAT,Information Not Available,Ongoing - Active,23093000.0,National,Bilateral (Foreign Govs),23093000.0
109,Australian Humanitarian Partnership (AHP) – Disaster READY,Timor-Leste,Climate Change and Disaster Risk,USD,"76,680,000",2023,2027,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2027.0,DFAT,Information Not Available,Ongoing - Active,76680000.0,National,Bilateral (Foreign Govs),76680000.0
110,Partnership for Human Development,Timor-Leste,Health,USD,"90,156,000",2023,2026,DFAT,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,2026.0,DFAT,Information Not Available,Ongoing - Active,90156000.0,National,Bilateral (Foreign Govs),90156000.0
111,PARTISIPA: Partnership to Strengthen Village Development and Municipal Administration,Timor-Leste,Infrastructure,USD,"71,680,000",2023,2030,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2030.0,DFAT,Information Not Available,Ongoing - Active,71680000.0,National,Bilateral (Foreign Govs),71680000.0
112,PROSIVU: A Partnership for Inclusive Prosperity / Parseria Ba Prosperidade Inklusivu,Timor-Leste,Public Sector Management,USD,"46,601,000",2023,2026,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2026.0,DFAT,Information Not Available,Ongoing - Active,46601000.0,National,Bilateral (Foreign Govs),46601000.0
113,Market Development Facility (MDF),Timor-Leste,Multi sector,USD,"8,403,000",2023,2027,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2027.0,DFAT,Information Not Available,Ongoing - Active,8403000.0,National,Bilateral (Foreign Govs),8403000.0
114,Skills and Employment Opportunities,Timor-Leste,Economic development,USD,"2,639,000",2024,2028,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2028.0,DFAT,Information Not Available,Ongoing - Active,2639000.0,National,Bilateral (Foreign Govs),2639000.0
115,Australia Awards Timor-Leste,Timor-Leste,Education,USD,"4,168,000",2023,2026,DFAT,Not identified,Ongoing - Active,2. Energy Access & Affordability,1. Social Capital,2026.0,DFAT,Information Not Available,Ongoing - Active,4168000.0,National,Bilateral (Foreign Govs),4168000.0
116,ASEAN and WTO accession,Timor-Leste,Governance,USD,"8,197,000",2023,2029,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2029.0,DFAT,Information Not Available,Ongoing - Active,8197000.0,National,Bilateral (Foreign Govs),8197000.0
117,Direct Budget Support,Timor-Leste,Public Sector Management,USD,"32,312,500",2023,2025,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,DFAT,Information Not Available,Ongoing - Active,32312500.0,National,Bilateral (Foreign Govs),32312500.0
118,Nabilan: Ending Violence Against Women in Timor-Leste,Timor-Leste,Gender-based violence,USD,"14,247,000",2023,2026,DFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2026.0,DFAT,Information Not Available,Ongoing - Active,14247000.0,National,Bilateral (Foreign Govs),14247000.0
120,Timor-Leste Biosecurity Development Program,Timor-Leste,Agriculture,USD,"1,063,000",2023,2026,DFAT,Not identified,Ongoing - Active,5. Job & Social Protection,1. Social Capital,2026.0,DFAT,Information Not Available,Ongoing - Active,1063000.0,National,Bilateral (Foreign Govs),1063000.0
121,Aquaculture Development in Timor-Leste,Timor-Leste,Agriculture,USD,"8,976,440",2023,2025,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2025.0,MFAT,Information Not Available,Ongoing - Active,8976440.0,National,Bilateral (Foreign Govs),8976440.0
122,ASEAN 2023 Trade Policy Short Course,Timor-Leste,Education,USD,"89,600",2023,2024,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,1. Social Capital,2024.0,MFAT,Information Not Available,Ongoing - Active,89600.0,National,Bilateral (Foreign Govs),89600.0
123,ASEAN 2024 Food and Agribusiness Value Chains Short Course,Timor-Leste,Multi sector,USD,"368,000",2023,2024,MFAT,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",1. Social Capital,2024.0,MFAT,Information Not Available,Ongoing - Active,368000.0,National,Bilateral (Foreign Govs),368000.0
124,ASEAN 2024 Public Sector Leadership (Mid Level Officials) Short Course,Timor-Leste,Education,USD,"350,000",2023,2024,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2024.0,MFAT,Information Not Available,Ongoing - Active,350000.0,National,Bilateral (Foreign Govs),350000.0
125,ASEAN 2024 Public Sector Leadership (Senior Level Officials) Short Course,Timor-Leste,Education,USD,"299,000",2023,2024,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2024.0,MFAT,Information Not Available,Ongoing - Active,299000.0,National,Bilateral (Foreign Govs),299000.0
126,ASEAN 2024 Renewable Energy Short Course,Timor-Leste,Education,USD,"556,000",2023,2024,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,2024.0,MFAT,Information Not Available,Ongoing - Active,556000.0,National,Bilateral (Foreign Govs),556000.0
129,"Climate Finance for Community Resilience: Monitoring, Evaluation, Research and Learning",Timor-Leste,Multi sector,USD,"66,000",2024,2025,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,MFAT,Information Not Available,Ongoing - Active,66000.0,National,Bilateral (Foreign Govs),66000.0
130,Climate Finance for Community Resilience,Timor-Leste,Multi sector,USD,"704,000",2024,2026,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,2026.0,MFAT,Information Not Available,Ongoing - Active,704000.0,National,Bilateral (Foreign Govs),704000.0
131,Climate Finance for Community Resilience,Timor-Leste,Water and Sanitation,USD,"448,000",2024,2026,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,2026.0,MFAT,Information Not Available,Ongoing - Active,448000.0,National,Bilateral (Foreign Govs),448000.0
132,Climate Finance for Community Resilience,Timor-Leste,Multi sector,USD,"1,590,000",2023,2026,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,1. Social Capital,2026.0,MFAT,Information Not Available,Ongoing - Active,1590000.0,National,Bilateral (Foreign Govs),1590000.0
133,Crop Diversification in Timor-Leste,Timor-Leste,Agriculture,USD,"9,834,000",2023,2026,MFAT,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2026.0,MFAT,Information Not Available,Ongoing - Active,9834000.0,National,Bilateral (Foreign Govs),9834000.0
134,Early Childhood Education,Timor-Leste,Education,USD,"9,250,000",2023,2026,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2026.0,MFAT,Information Not Available,Ongoing - Active,9250000.0,National,Bilateral (Foreign Govs),9250000.0
135,English Language Training for Officials - Renewable Energy - Intake 58,Timor-Leste,Public Sector Management,USD,"1,051,000",2023,2024,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2024.0,MFAT,Information Not Available,Ongoing - Active,1051000.0,National,Bilateral (Foreign Govs),1051000.0
136,English Language Training for Officials Agriculture and Rural Development: Intake 59,Timor-Leste,Public Sector Management,USD,"1,080,000",2023,2025,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,MFAT,Information Not Available,Ongoing - Active,1080000.0,National,Bilateral (Foreign Govs),1080000.0
137,English Language Training for Officials Asia - Intake 57 - Education,Timor-Leste,Education,USD,"642,000",2023,2024,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2024.0,MFAT,Information Not Available,Ongoing - Active,642000.0,National,Bilateral (Foreign Govs),642000.0
139,Lafaek Learning Media,Timor-Leste,Education,USD,"14,662,465",2023,2027,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2027.0,MFAT,Information Not Available,Ongoing - Active,14662465.0,National,Bilateral (Foreign Govs),14662465.0
140,Manage Scholarships Operations Phase 3 Future State Project,Timor-Leste,Education,USD,"1,380,000",2024,2026,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2026.0,MFAT,Information Not Available,Ongoing - Active,1380000.0,National,Bilateral (Foreign Govs),1380000.0
141,MF3-03 Enhancing Climate Resilience of Coastal Communities in Timor-Leste,Timor-Leste,Fisheries,USD,"621,000",2023,2026,MFAT,Not identified,Ongoing - Active,4. Transforming Education,1. Social Capital,2026.0,MFAT,Information Not Available,Ongoing - Active,621000.0,National,Bilateral (Foreign Govs),621000.0
149,Pacific Infrastructure Technical Assistance Fund (PITAF),Timor-Leste,Construction,USD,"4,020,000",2023,2027,MFAT,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,2027.0,MFAT,Information Not Available,Ongoing - Active,4020000.0,National,Bilateral (Foreign Govs),4020000.0
150,Pacific Sexual Reproductive Health & Rights 2023 - 2027,Timor-Leste,Health,USD,"7,090,000",2023,2029,MFAT,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,2029.0,MFAT,Information Not Available,Ongoing - Active,7090000.0,National,Bilateral (Foreign Govs),7090000.0
151,PASK (Community Security Support Programme / Programa Apoiu Seguransa Komunidade),Timor-Leste,Governance,USD,"4,880,000",2023,2025,MFAT,Not identified,Ongoing - Active,4. Transforming Education,4. Institutional Framework,2025.0,MFAT,Information Not Available,Ongoing - Active,4880000.0,National,Bilateral (Foreign Govs),4880000.0
189,Timor-Leste Individual Short Term Training Scholarships Allocations for 2024/25 - 2026/27 Triennium,Timor-Leste,Education,USD,"370,427.18",2024,2027,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2027.0,MFAT,Information Not Available,Ongoing - Active,370427.18,National,Bilateral (Foreign Govs),370427.18
190,Tourism Development,Timor-Leste,Multi sector,USD,"7,143,904.52",2023,2027,MFAT,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2027.0,MFAT,Information Not Available,Ongoing - Active,7143904.52,National,Bilateral (Foreign Govs),7143904.52
253,Building Safety and Resilience in the Pacific Phase II (BSRP II) project,Timor-Leste,Climate Change and Disaster Risk,USD,"595,000",2024,Not identified,EU,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,EU,Information Not Available,Ongoing - Active,595000.0,National,Multilateral/Banks,595000.0
263,"UN Free & Equal Campaign Timor-Leste (Protect rights of LGBTQI- Lesbian, Gay, Bisexual, Transgender, Queers and Intersex)",Dili,Human Rights - Protection,USD,"27,600.00",2023,2025,OHCHR,Not identified,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,2025.0,OHCHR,Information Not Available,Ongoing - Active,27600.0,Municipality,United Nations,27600.0
264,Support to Regional Integration and Trade,Timor-Leste,Economic development,USD,"3,246,300",2023,2026,EU,Not identified,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2026.0,EU,Information Not Available,Ongoing - Active,3246300.0,National,Multilateral/Banks,3246300.0
265,PFM Technical Assistance,Timor-Leste,Governance/Decentralization,USD,"3,408,000",2025,2027,EU,Not identified,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,2027.0,EU,Information Not Available,Ongoing - Active,3408000.0,National,Multilateral/Banks,3408000.0
668,Technical Assistance for the Project Preparation and Implementation (PPI) Programme for Timor-Leste,Timor-Leste,Finance,USD,"6,046,500.30",2023,2024,EU/EIB,,Completed,5. Job & Social Protection,3. Economic Development,2024.0,EU/EIB,Information Not Available,Completed,6046500.3,National,Multilateral/Banks,6046500.3
669,Pacific Adaptation to Climate Change and Resilience Building (PACRES),Baucau,Climate Change,USD,"407,760.00",2023,2027,EU/EDF,,Completed,"6. Climate, Biodiversity & Pollution",3. Economic Development,2027.0,EU/EDF,Information Not Available,Completed,407760.0,Municipality,Multilateral/Banks,407760.0
672,Maloa Urban Resilience Initiative,Dili,Infrastructure,USD,"2,446,696.81",2023,2024,EU,,Completed,5. Job & Social Protection,3. Economic Development,2024.0,EU,Information Not Available,Completed,2446696.81,Municipality,Multilateral/Banks,2446696.81
673,Project to Empower and Strengthen Consumers in Timor-Leste,Dili,Comsumer protection,USD,"722,358.10",2023,2024,EU,,Completed,5. Job & Social Protection,1. Social Capital,2024.0,EU,Information Not Available,Completed,722358.1,Municipality,Multilateral/Banks,722358.1
675,Accelerating Climate Transition Through Green Finance in Southeast Asia,Timor-Leste,Finance,USD,"15,000,000.00",2024,2025,ADB,,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2025.0,ADB,Information Not Available,Ongoing - Active,15000000.0,National,Multilateral/Banks,15000000.0
676,Policy Advice for COVID-19 Economic Recovery in Southeast Asia (Phase II),Timor-Leste,Public Sector Management,USD,"2,500,000.00",2023,2025,ADB,,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2025.0,ADB,Information Not Available,Ongoing - Active,2500000.0,National,Multilateral/Banks,2500000.0
677,Sovereign Debt Analytics and Management Support,Timor-Leste,Public Sector Management,USD,"1,500,000.00",2023,2025,ADB,,Ongoing - Active,4. Transforming Education,4. Institutional Framework,2025.0,ADB,Information Not Available,Ongoing - Active,1500000.0,National,Multilateral/Banks,1500000.0
678,Timor-Leste Covid-19 Response and Health System Preparedness Project,Timor-Leste,Health,USD,"5,000,000.00",2023,2025,WB,,Ongoing - Active,5. Job & Social Protection,1. Social Capital,2025.0,WB,Information Not Available,Ongoing - Active,5000000.0,National,Multilateral/Banks,5000000.0
679,Timor-Leste Covid-19 and Health Systems Strengthening Support,Viqueque,Health,USD,"2,750,000.00",2023,2025,WB,,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,WB,Information Not Available,Ongoing - Active,2750000.0,Municipality,Multilateral/Banks,2750000.0
680,Basic Education Strengthening and Transformation Project,Timor-Leste,Education,USD,"23,550,000.00",2023,2025,WB,,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,WB,Information Not Available,Ongoing - Active,23550000.0,National,Multilateral/Banks,23550000.0
681,Timor-Leste Branch Roads Project,Ermera,Infrastructure,USD,"70,810,000.00",2023,2027,WB,,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,2027.0,WB,Information Not Available,Ongoing - Active,70810000.0,Municipality,Multilateral/Banks,70810000.0
682,Sustainable Agriculture Productivity Improvement Project,Timor-Leste,Agriculture,USD,"21,000,000.00",2023,2025,WB,,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2025.0,WB,Information Not Available,Ongoing - Active,21000000.0,National,Multilateral/Banks,21000000.0
684,Integrating Gender and Social Inclusion Dimensions in Climate Change Interventions in Southeast Asia,Timor-Leste,Energy,USD,"1,350,000.00",2023,2025,ADB,,Ongoing - Active,2. Energy Access & Affordability,4. Institutional Framework,2025.0,ADB,Information Not Available,Ongoing - Active,1350000.0,National,Multilateral/Banks,1350000.0
686,TOMAK (Toos ba Moris Diak) Farming for Prosperity,Timor-Leste,Agriculture,USD,"13,226,941.10",2022,2026,DFAT,,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2026.0,DFAT,Information Not Available,Ongoing - Active,13226941.1,National,Bilateral (Foreign Govs),13226941.1
272,PROCULTURA - Promotion of Employment in Income Generating Activities in the Cultural Sector in the PALOP-TL countries,Timor-Leste,Economic development,USD,"21,282,000",2023,2025,EU,Instituto Camoes,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2025.0,EU,Instituto Camoes,Ongoing - Active,21282000.0,National,Multilateral/Banks,21282000.0
147,NP: Leprosy Mission New Zealand (LMNZ),Timor-Leste,Health,USD,"1,586,000",2023,2027,MFAT,Leprosy Mission New Zealand,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,2027.0,MFAT,Leprosy Mission New Zealand,Ongoing - Active,1586000.0,National,Bilateral (Foreign Govs),1586000.0
580,Tobacco Control,Timor-Leste,Health,USD,"80,000.00",2023,2025,NORAD,MOH,Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,NORAD,MOH,Ongoing - Active,80000.0,National,Bilateral (Foreign Govs),80000.0
575,Strategic Priority 1 :Universal Health Coverage,Timor-Leste,Health,USD,"7,163,000.00",2023,2025,"GAVI, Global Fund, EU, DFAT, UNICEF, WDF, UNITAID, JICA, Fleming","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,2025.0,"GAVI, Global Fund, EU, DFAT, UNICEF, WDF, UNITAID, JICA, Fleming","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,7163000.0,National,"Bilateral (Foreign Govs), Multilateral/Banks, NGO/Private/Others, United Nations",7163000.0
576,Strategic Priority 2 : Health Emergencies,Timor-Leste,Health,USD,"1,743,000.00",2023,2025,"KOICA, DFAT","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,4. Institutional Framework,2025.0,"KOICA, DFAT","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,1743000.0,National,Bilateral (Foreign Govs),1743000.0
577,Strategic Priority 3 : Health & well Being,Timor-Leste,Health,USD,"2,730,000.00",2023,2025,"WFP, RTSL, FCDO, EU","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,"WFP, RTSL, FCDO, EU","MOH, INSPTL, INFPM, HNGV",Ongoing - Active,2730000.0,National,"Bilateral (Foreign Govs), Multilateral/Banks, United Nations",2730000.0
578,Pandemic Influenza Prepardness,Timor-Leste,Health,USD,"150,000.00",2023,2025,WHO,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,WHO,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,150000.0,National,United Nations,150000.0
579,Emegency Operation and Appeal,Timor-Leste,Health,USD,"4,000,000.00",2023,2025,Pandemic Fund,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4. Transforming Education,1. Social Capital,2025.0,Pandemic Fund,"MOH, INSPTL, INFPM, HNGV",Ongoing - Active,4000000.0,National,Multilateral/Banks,4000000.0
